Product_ID,Sale_Date,Sales_Rep,Region,Sales_Amount,Quantity_Sold,Product_Category,Unit_Cost,Unit_Price,Customer_Type,Discount,Payment_Method,Sales_Channel,Region_and_Sales_Rep,Revenue,Cost,Profit,Profit_Margin,Month,Quarter,Year
1052,2023-02-03,Bob,North,5053.97,18,Furniture,152.75,267.22,Returning,0.09,Cash,Online,North-Bob,5053.97,2749.5,2304.4700000000003,0.45597223568798395,2023-02,2023Q1,2023
1093,2023-04-21,Bob,West,4384.02,17,Furniture,3816.39,4209.44,Returning,0.11,Cash,Retail,West-Bob,4384.02,64878.63,-60494.61,-13.79889005980812,2023-04,2023Q2,2023
1015,2023-09-21,David,South,4631.23,30,Food,261.56,371.4,Returning,0.2,Bank Transfer,Retail,South-David,4631.23,7846.8,-3215.5700000000006,-0.6943231063885837,2023-09,2023Q3,2023
1072,2023-08-24,Bob,South,2167.94,39,Clothing,4330.03,4467.75,New,0.02,Credit Card,Retail,South-Bob,2167.94,168871.16999999998,-166703.22999999998,-76.8947618476526,2023-08,2023Q3,2023
1061,2023-03-24,Charlie,East,3750.2,13,Electronics,637.37,692.71,New,0.08,Credit Card,Online,East-Charlie,3750.2,8285.81,-4535.61,-1.2094314969868274,2023-03,2023Q1,2023
1021,2023-02-11,Charlie,West,3761.15,32,Food,900.79,1106.51,New,0.21,Cash,Online,West-Charlie,3761.15,28825.28,-25064.129999999997,-6.663953843904125,2023-02,2023Q1,2023
1083,2023-04-11,Bob,West,618.31,29,Furniture,2408.81,2624.09,Returning,0.14,Cash,Online,West-Bob,618.31,69855.49,-69237.18000000001,-111.9781015995213,2023-04,2023Q2,2023
1087,2023-01-06,Eve,South,7698.92,46,Furniture,3702.51,3964.65,New,0.12,Bank Transfer,Online,South-Eve,7698.92,170315.46000000002,-162616.54,-21.121993734186095,2023-01,2023Q1,2023
1075,2023-06-29,David,South,4223.39,30,Furniture,738.06,1095.4499999999998,New,0.05,Bank Transfer,Online,South-David,4223.39,22141.8,-17918.41,-4.2426605167886455,2023-06,2023Q2,2023
1075,2023-10-09,Charlie,West,8239.58,18,Clothing,2228.35,2682.34,New,0.13,Bank Transfer,Online,West-Charlie,8239.58,40110.299999999996,-31870.719999999994,-3.8680029807344543,2023-10,2023Q4,2023
1088,2023-11-16,Eve,North,8518.45,13,Furniture,2440.11,2517.6,New,0.23,Bank Transfer,Retail,North-Eve,8518.45,31721.43,-23202.98,-2.7238499961847515,2023-11,2023Q4,2023
1100,2023-08-14,Bob,West,2198.74,43,Food,1100.81,1137.44,Returning,0.08,Bank Transfer,Online,West-Bob,2198.74,47334.829999999994,-45136.09,-20.52816158345234,2023-08,2023Q3,2023
1024,2023-11-11,Eve,West,6607.8,21,Food,622.01,641.09,Returning,0.0,Bank Transfer,Retail,West-Eve,6607.8,13062.21,-6454.409999999999,-0.9767865250158901,2023-11,2023Q4,2023
1003,2023-12-31,Alice,South,4775.59,30,Furniture,4190.28,4270.65,New,0.2,Cash,Online,South-Alice,4775.59,125708.4,-120932.81,-25.323114002667733,2023-12,2023Q4,2023
1022,2023-08-17,Charlie,South,8813.55,21,Food,2537.2,2869.6,New,0.29,Bank Transfer,Retail,South-Charlie,8813.55,53281.2,-44467.649999999994,-5.045373317221777,2023-08,2023Q3,2023
1053,2023-10-16,Bob,North,2235.83,48,Furniture,121.19,487.65,New,0.18,Cash,Retail,North-Bob,2235.83,5817.12,-3581.29,-1.6017720488588132,2023-10,2023Q4,2023
1002,2023-05-30,David,North,6810.35,17,Furniture,4024.76,4420.150000000001,Returning,0.04,Cash,Online,North-David,6810.35,68420.92,-61610.57,-9.046608470930275,2023-05,2023Q2,2023
1088,2023-10-04,Bob,East,6116.75,40,Electronics,4904.93,5034.35,New,0.1,Credit Card,Retail,East-Bob,6116.75,196197.2,-190080.45,-31.075399517717745,2023-10,2023Q4,2023
1030,2023-07-17,David,West,3023.48,19,Clothing,3049.33,3209.22,Returning,0.26,Cash,Online,West-David,3023.48,57937.27,-54913.78999999999,-18.16244526175136,2023-07,2023Q3,2023
1038,2023-03-11,Bob,South,1452.35,15,Clothing,2543.36,2790.1000000000004,Returning,0.07,Cash,Online,South-Bob,1452.35,38150.4,-36698.05,-25.26804833545633,2023-03,2023Q1,2023
1002,2023-04-22,Eve,North,6551.23,9,Electronics,4398.16,4439.12,New,0.18,Bank Transfer,Online,North-Eve,6551.23,39583.44,-33032.21000000001,-5.042138651825689,2023-04,2023Q2,2023
1064,2023-01-04,Eve,East,7412.11,10,Electronics,4764.96,5074.42,New,0.12,Cash,Online,East-Eve,7412.11,47649.6,-40237.49,-5.4286147938980935,2023-01,2023Q1,2023
1060,2023-12-16,Eve,East,3224.71,44,Clothing,3784.96,4276.99,New,0.06,Bank Transfer,Retail,East-Eve,3224.71,166538.24,-163313.53,-50.64440833439286,2023-12,2023Q4,2023
1021,2023-11-27,Alice,South,6483.84,31,Furniture,2254.99,2441.79,Returning,0.24,Bank Transfer,Online,South-Alice,6483.84,69904.68999999999,-63420.84999999999,-9.781371841377947,2023-11,2023Q4,2023
1033,2023-11-14,David,South,4011.8,23,Furniture,2981.5,3360.4,Returning,0.22,Bank Transfer,Retail,South-David,4011.8,68574.5,-64562.7,-16.09320005982352,2023-11,2023Q4,2023
1076,2023-12-16,Eve,East,7160.75,30,Clothing,3519.63,3774.65,New,0.2,Credit Card,Retail,East-Eve,7160.75,105588.90000000001,-98428.15000000001,-13.745508501204483,2023-12,2023Q4,2023
1058,2023-04-05,Alice,North,2072.23,33,Furniture,1011.65,1084.28,Returning,0.07,Bank Transfer,Retail,North-Alice,2072.23,33384.45,-31312.219999999998,-15.110397977058529,2023-04,2023Q2,2023
1022,2023-06-01,David,East,8913.13,9,Electronics,2263.65,2558.9500000000003,New,0.03,Cash,Online,East-David,8913.13,20372.850000000002,-11459.720000000003,-1.285712202110819,2023-06,2023Q2,2023
1089,2023-11-07,Bob,West,2945.36,47,Furniture,4157.62,4314.56,New,0.17,Bank Transfer,Retail,West-Bob,2945.36,195408.13999999998,-192462.78,-65.34439932639813,2023-11,2023Q4,2023
1049,2023-05-17,Alice,West,3741.08,1,Furniture,3290.89,3317.75,Returning,0.17,Bank Transfer,Online,West-Alice,3741.08,3290.89,450.19000000000005,0.12033690805863549,2023-05,2023Q2,2023
1091,2023-09-04,Charlie,South,675.11,44,Food,2085.46,2406.58,Returning,0.06,Bank Transfer,Retail,South-Charlie,675.11,91760.24,-91085.13,-134.918946542045,2023-09,2023Q3,2023
1059,2023-08-31,Alice,North,1203.97,35,Food,3333.64,3764.52,Returning,0.02,Credit Card,Online,North-Alice,1203.97,116677.4,-115473.43,-95.9105542496906,2023-08,2023Q3,2023
1042,2023-01-31,Alice,North,5207.03,11,Food,635.2,814.1400000000001,Returning,0.02,Cash,Online,North-Alice,5207.03,6987.200000000001,-1780.170000000001,-0.34187819159866584,2023-01,2023Q1,2023
1092,2023-02-09,David,West,2749.17,34,Furniture,2037.41,2238.65,New,0.3,Credit Card,Online,West-David,2749.17,69271.94,-66522.77,-24.197401397512703,2023-02,2023Q1,2023
1060,2023-08-17,Bob,East,8371.25,16,Clothing,3975.99,4422.59,New,0.24,Cash,Online,East-Bob,8371.25,63615.84,-55244.59,-6.59932387636255,2023-08,2023Q3,2023
1080,2023-02-05,Charlie,South,245.46,9,Electronics,1141.52,1550.19,New,0.28,Credit Card,Retail,South-Charlie,245.46,10273.68,-10028.220000000001,-40.85480322659497,2023-02,2023Q1,2023
1015,2023-08-11,Eve,East,3853.03,32,Furniture,970.51,1330.84,Returning,0.06,Cash,Retail,East-Eve,3853.03,31056.32,-27203.29,-7.06023311523658,2023-08,2023Q3,2023
1062,2023-01-06,Eve,East,3439.72,15,Clothing,4756.55,4888.46,New,0.29,Credit Card,Online,East-Eve,3439.72,71348.25,-67908.53,-19.7424586884979,2023-01,2023Q1,2023
1062,2023-11-18,Alice,East,291.34,12,Furniture,1088.99,1545.0,Returning,0.04,Bank Transfer,Retail,East-Alice,291.34,13067.880000000001,-12776.54,-43.85439692455551,2023-11,2023Q4,2023
1047,2023-08-08,David,North,1331.25,33,Electronics,1341.55,1427.21,Returning,0.15,Credit Card,Online,North-David,1331.25,44271.15,-42939.9,-32.25532394366197,2023-08,2023Q3,2023
1062,2023-03-16,David,West,4195.06,45,Furniture,4849.6,5166.72,Returning,0.25,Credit Card,Online,West-David,4195.06,218232.00000000003,-214036.94000000003,-51.02118682450311,2023-03,2023Q1,2023
1051,2023-01-04,Eve,North,4979.36,14,Electronics,3686.81,3710.92,New,0.1,Bank Transfer,Retail,North-Eve,4979.36,51615.34,-46635.979999999996,-9.36585826290929,2023-01,2023Q1,2023
1055,2023-12-01,Charlie,West,4102.47,8,Furniture,3513.0,3838.42,Returning,0.13,Bank Transfer,Online,West-Charlie,4102.47,28104.0,-24001.53,-5.850507133507374,2023-12,2023Q4,2023
1064,2023-05-14,Bob,South,5356.28,8,Electronics,4271.99,4417.79,Returning,0.04,Cash,Online,South-Bob,5356.28,34175.92,-28819.64,-5.380532757809525,2023-05,2023Q2,2023
1003,2023-04-28,Charlie,South,5991.8,27,Furniture,623.32,853.6600000000001,Returning,0.04,Cash,Online,South-Charlie,5991.8,16829.640000000003,-10837.840000000004,-1.8087786641743722,2023-04,2023Q2,2023
1051,2023-04-04,Bob,East,198.25,12,Electronics,3544.48,3723.66,Returning,0.19,Cash,Online,East-Bob,198.25,42533.76,-42335.51,-213.54607818411097,2023-04,2023Q2,2023
1007,2023-03-03,Eve,West,4694.54,1,Food,2543.26,2637.9100000000003,Returning,0.2,Credit Card,Online,West-Eve,4694.54,2543.26,2151.2799999999997,0.45825150067951276,2023-03,2023Q1,2023
1021,2023-07-13,Bob,West,9638.64,43,Furniture,4154.3,4469.07,Returning,0.23,Cash,Retail,West-Bob,9638.64,178634.9,-168996.26,-17.53320592946723,2023-07,2023Q3,2023
1073,2023-12-01,David,West,5238.42,40,Furniture,2565.3,3007.4700000000003,Returning,0.17,Credit Card,Retail,West-David,5238.42,102612.0,-97373.58,-18.588349158715797,2023-12,2023Q4,2023
1039,2023-07-22,Alice,East,6807.67,42,Clothing,3120.19,3600.14,Returning,0.19,Credit Card,Retail,East-Alice,6807.67,131047.98,-124240.31,-18.250048841967956,2023-07,2023Q3,2023
1018,2023-01-26,Alice,East,3187.45,11,Clothing,2414.82,2519.07,Returning,0.0,Cash,Online,East-Alice,3187.45,26563.02,-23375.57,-7.333627194152066,2023-01,2023Q1,2023
1004,2023-06-22,Eve,South,7762.51,39,Electronics,2416.89,2778.4,Returning,0.05,Cash,Online,South-Eve,7762.51,94258.70999999999,-86496.2,-11.142813342591506,2023-06,2023Q2,2023
1089,2023-10-27,David,North,7751.92,43,Furniture,3851.45,4186.98,Returning,0.3,Credit Card,Online,North-David,7751.92,165612.35,-157860.43,-20.364042714579096,2023-10,2023Q4,2023
1060,2023-05-13,Charlie,West,5260.83,31,Electronics,3161.4,3339.66,Returning,0.02,Bank Transfer,Online,West-Charlie,5260.83,98003.40000000001,-92742.57,-17.628885556081457,2023-05,2023Q2,2023
1014,2023-11-22,David,West,9762.54,17,Food,3184.65,3204.01,New,0.2,Bank Transfer,Online,West-David,9762.54,54139.05,-44376.51,-4.545590594251086,2023-11,2023Q4,2023
1009,2023-04-28,Alice,North,1342.95,33,Clothing,2278.9,2626.9,New,0.05,Credit Card,Online,North-Alice,1342.95,75203.7,-73860.75,-54.99888305595889,2023-04,2023Q2,2023
1090,2023-11-20,Alice,West,267.78,32,Electronics,2678.99,3152.28,Returning,0.22,Cash,Retail,West-Alice,267.78,85727.68,-85459.9,-319.1422062887445,2023-11,2023Q4,2023
1053,2023-10-02,David,East,7724.57,29,Electronics,3741.3,4061.04,Returning,0.21,Credit Card,Online,East-David,7724.57,108497.70000000001,-100773.13,-13.045791545678272,2023-10,2023Q4,2023
1002,2023-07-31,David,East,8090.84,21,Clothing,4138.41,4361.7,Returning,0.07,Credit Card,Retail,East-David,8090.84,86906.61,-78815.77,-9.741358128451434,2023-07,2023Q3,2023
1084,2023-08-13,Alice,West,1290.05,21,Furniture,3497.98,3765.31,New,0.08,Cash,Online,West-Alice,1290.05,73457.58,-72167.53,-55.94165342428588,2023-08,2023Q3,2023
1092,2023-01-20,Charlie,East,2729.27,40,Electronics,4624.16,4731.98,New,0.2,Bank Transfer,Retail,East-Charlie,2729.27,184966.4,-182237.13,-66.77138209118189,2023-01,2023Q1,2023
1060,2023-04-23,Eve,East,273.77,23,Clothing,4110.6,4488.370000000001,New,0.12,Credit Card,Online,East-Eve,273.77,94543.8,-94270.03,-344.34024911422,2023-04,2023Q2,2023
1071,2023-05-20,Eve,West,3003.76,6,Furniture,2831.23,3206.98,Returning,0.06,Bank Transfer,Retail,West-Eve,3003.76,16987.38,-13983.62,-4.6553719338429165,2023-05,2023Q2,2023
1044,2023-02-16,David,South,7754.1,22,Food,3373.46,3454.76,Returning,0.22,Bank Transfer,Retail,South-David,7754.1,74216.12,-66462.01999999999,-8.571210069511611,2023-02,2023Q1,2023
1008,2023-01-01,Eve,North,5227.81,38,Clothing,4635.23,5075.44,Returning,0.05,Cash,Online,North-Eve,5227.81,176138.74,-170910.93,-32.69264376478869,2023-01,2023Q1,2023
1047,2023-03-31,Alice,East,3546.15,37,Electronics,3114.88,3256.78,Returning,0.26,Credit Card,Online,East-Alice,3546.15,115250.56,-111704.41,-31.500193167237708,2023-03,2023Q1,2023
1035,2023-05-22,Alice,South,3780.22,45,Food,4132.79,4624.1,New,0.15,Credit Card,Retail,South-Alice,3780.22,185975.55,-182195.33,-48.197017633894326,2023-05,2023Q2,2023
1078,2023-11-16,David,East,113.4,8,Furniture,3459.61,3657.23,Returning,0.03,Bank Transfer,Online,East-David,113.4,27676.88,-27563.48,-243.0641975308642,2023-11,2023Q4,2023
1081,2023-02-07,David,East,3068.03,41,Furniture,2782.08,2879.24,New,0.21,Bank Transfer,Online,East-David,3068.03,114065.28,-110997.25,-36.178671655753035,2023-02,2023Q1,2023
1036,2023-10-20,David,North,6499.94,49,Clothing,1247.1,1429.4399999999998,New,0.16,Cash,Online,North-David,6499.94,61107.899999999994,-54607.95999999999,-8.401302165866145,2023-10,2023Q4,2023
1050,2023-05-19,Charlie,East,9744.52,35,Clothing,2158.69,2384.38,Returning,0.09,Bank Transfer,Retail,East-Charlie,9744.52,75554.15000000001,-65809.63,-6.753501455176859,2023-05,2023Q2,2023
1004,2023-12-22,Eve,North,8485.9,11,Clothing,4840.33,4884.29,New,0.13,Cash,Online,North-Eve,8485.9,53243.63,-44757.729999999996,-5.274364534109522,2023-12,2023Q4,2023
